"KOTA,KECAMATAN,CODE,REG,ESTIMASI REG,OKE,ESTIMASI OKE,YES,ORIGIN"
"LombokTimur,Aikmel,AMI,44000,3 - 6,38000,4 - 7,-,JAKARTA"
"Sumbawa,Alas,AMI,44000,3 - 6,38000,4 - 7,-,JAKARTA"
"Sumbawa,AlasBarat,AMI,44000,3 - 6,38000,4 - 7,-,JAKARTA"
"Bima,Ambalawi,AMI,66000,+ 10,-,-,-,JAKARTA"
"Mataram,Ampenan,AMI,25000,1 - 2,22000,2 - 3,32000,JAKARTA"
"Bima,Asakota,AMI,35000,2 - 3,30000,3 - 6,-,JAKARTA"
"LombokTengah,Batukliang,AMI,44000,3 - 6,38000,4 - 7,-,JAKARTA"
"LombokTengah,BatukliangUtara,AMI,44000,3 - 6,38000,4 - 7,-,JAKARTA"
"Sumbawa,BatuLanteh,AMI,66000,+ 10,-,-,-,JAKARTA"
"LombokBarat,BatuLayar,AMI,44000,3 - 6,38000,4 - 7,-,JAKARTA"
"LombokBarat,Bayan,AMI,66000,+ 10,-,-,-,JAKARTA"
"Bima,Belo,AMI,44000,3 - 6,38000,4 - 7,-,JAKARTA"
"Bima,Bima,AMI,35000,2 - 3,30000,3 - 6,-,JAKARTA"
"Bima,Bolo,AMI,44000,3 - 6,38000,4 - 7,-,JAKARTA"
"SumbawaBarat,BrangRea,AMI,44000,3 - 6,38000,4 - 7,-,JAKARTA"
"Mataram,Cakranegara,AMI,25000,1 - 2,22000,2 - 3,32000,JAKARTA"
"Dompu,Dompu,AMI,35000,2 - 3,30000,3 - 6,-,JAKARTA"
"Bima,Donggo,AMI,44000,3 - 6,38000,4 - 7,-,JAKARTA"
"Sumbawa,Empang,AMI,44000,3 - 6,38000,4 - 7,-,JAKARTA"
"LombokBarat,Gangga,AMI,66000,+ 10,-,-,-,JAKARTA"
"LombokBarat,Gerung,AMI,35000,2 - 3,30000,3 - 6,-,JAKARTA"
"LombokBarat,GunungSari,AMI,44000,3 - 6,38000,4 - 7,-,JAKARTA"
"Dompu,Hu'u,AMI,66000,+ 10,-,-,-,JAKARTA"
"LombokTengah,Janapria,AMI,44000,3 - 6,38000,4 - 7,-,JAKARTA"
"SumbawaBarat,Jereweh,AMI,44000,3 - 6,38000,4 - 7,-,JAKARTA"
"LombokTimur,Jerowaru,AMI,44000,3 - 6,38000,4 - 7,-,JAKARTA"
"LombokTengah,Jonggat,AMI,44000,3 - 6,38000,4 - 7,-,JAKARTA"
"LombokBarat,Kayangan,AMI,66000,+ 10,-,-,-,JAKARTA"
